"totalcurrval","livingarea","dep","size","zone","actype","bedrms","bathhalf","type"
NA,4336,28,0.19,"Other","No AC",5,"3:0","Other"
NA,2763,22,0.11,"RM2","No AC",6,"3:1","Colonial"
NA,907,28,0.07,"Other","No AC",2,"1:1","Other"
97510,3247,28,0.1,"RM2","No AC",6,"3:0","Colonial"
NA,1456,22,0.17,"RM2","No AC",4,"1:1","Other"
321160,4473,28,0.18,"RM2","No AC",4,"3:1","Ranch"
NA,4161,28,0.14,"RS2","No AC",8,"4:0","Colonial"
73900,2484,28,0.09,"RS1","No AC",4,"2:0","Colonial"
221970,2927,22,0.16,"RM2","AC",4,"3:0","Other"
NA,2238,22,0.17,"RM2","No AC",3,"1:1","Other"
NA,1630,22,0.12,"RS3","AC",3,"2:0","Colonial"
NA,768,22,0.11,"RS3","No AC",2,"1:0","Colonial"
NA,1199,22,0.14,"RS1","No AC",3,"1:1","Other"
91210,1536,22,0.1,"RM3","No AC",3,"1:0","Other"
NA,3330,28,0.07,"RS1","No AC",6,"3:0","Colonial"
72990,2468,28,0.09,"RS1","No AC",2,"2:0","Colonial"
NA,2136,28,0.08,"RS2","No AC",6,"2:0","Other"
239930,4555,22,0.15,"RM1","AC",6,"4:1","Modern"
NA,2317,18,0.36,"RS2","AC",4,"3:0","Ranch"
50650,1296,28,0.14,"RS3","No AC",4,"2:0","Other"
433160,4217,22,0.39,"RM3","No AC",6,"4:0","Colonial"
NA,2024,22,0.12,"RS2","No AC",4,"2:0","Modern"
70840,2072,22,0.11,"RM3","No AC",6,"3:0","Other"
78160,1416,22,0.16,"RM1","No AC",3,"2:0","Other"
NA,3992,28,0.2,"Other","No AC",4,"4:1","Other"
NA,2978,28,0.11,"RS1","No AC",6,"2:0","Other"
NA,2016,22,0.21,"RM2","No AC",2,"1:0","Other"
151910,3848,28,0.17,"RS2","No AC",6,"3:0","Other"
71830,2020,28,0.12,"RS2","No AC",4,"2:0","Other"
NA,2219,23,0.24,"RM3","No AC",4,"2:1","Other"
NA,1040,28,0.19,"RS1","No AC",2,"1:0","Other"
92680,3618,28,0.2,"RM3","No AC",6,"3:0","Modern"
200300,2741,28,0.14,"Other","No AC",4,"1:0","Other"
NA,1900,28,0.14,"RS3","No AC",4,"1:1","Modern"
NA,1246,28,0.1,"RS3","No AC",3,"1:0","Modern"
NA,3680,28,0.12,"RS2","No AC",6,"3:0","Other"
96530,3911,28,0.13,"RM2","No AC",6,"3:0","Other"
93240,1270,19,0.35,"RM3","No AC",3,"1:0","Colonial"
NA,4454,38,0.12,"RM1","No AC",8,"4:0","Other"
90650,1508,28,0.21,"RM2","No AC",3,"1:1","Colonial"
NA,1176,28,0.12,"RS1","AC",3,"1:0","Colonial"
NA,2383,28,0.14,"RS2","No AC",5,"2:0","Other"
NA,2148,22,0.17,"Other","No AC",2,"2:0","Modern"
84420,1499,21,0.24,"RM3","AC",4,"2:0","Other"
134380,2757,28,0.18,"RS1","No AC",3,"2:0","Other"
67730,1016,23,0.18,"RS3","No AC",2,"1:0","Other"
NA,1008,20,0.11,"RM2","No AC",3,"1:0","Colonial"
NA,2112,28,0.11,"RS1","No AC",4,"2:0","Ranch"
NA,1294,23,0.23,"RS1","AC",3,"1:1","Other"
NA,2058,17,0.21,"RS3","AC",4,"2:0","Other"
66440,1584,22,0.11,"RS2","No AC",3,"2:0","Colonial"
156040,2564,22,0.2,"RS2","No AC",3,"1:1","Other"
NA,1792,28,0.07,"RS1","No AC",5,"2:0","Other"
NA,1344,23,0.2,"Other","AC",3,"1:1","Other"
160840,1565,28,0.15,"RS1","No AC",4,"2:0","Other"
119070,3040,28,0.2,"RM2","No AC",4,"2:0","Ranch"
107850,1776,23,0.23,"RS1","No AC",3,"1:1","Other"
54930,1188,22,0.07,"RS1","No AC",3,"1:0","Other"
NA,2076,22,0.09,"RS3","No AC",4,"2:0","Other"
81410,3551,28,0.11,"RM2","No AC",4,"2:0","Other"
NA,2648,22,0.13,"RM3","No AC",6,"3:0","Other"
100700,1284,19,0.22,"RM1","No AC",2,"1:1","Colonial"
59620,2011,28,0.09,"RS1","No AC",4,"3:0","Colonial"
87780,2080,23,0.25,"RM2","No AC",4,"2:0","Other"
NA,1013,50,0.14,"RS1","No AC",4,"1:0","Other"
NA,3270,28,0.24,"RS1","No AC",5,"3:1","Colonial"
NA,2267,26,0.27,"Other","No AC",3,"2:0","Colonial"
NA,1202,17,0.09,"RS2","No AC",3,"1:1","Other"
78900,1200,26,0.13,"RS2","No AC",3,"1:0","Other"
73020,1232,28,0.09,"RS2","No AC",3,"1:0","Colonial"
NA,2730,28,0.06,"RS3","No AC",4,"2:0","Other"
140210,2392,28,0.18,"RM2","No AC",4,"2:0","Colonial"
NA,1061,28,0.11,"RS2","No AC",2,"1:1","Other"
NA,1781,20,0.3,"RM2","No AC",3,"1:1","Colonial"
NA,2402,27,0.18,"RS2","No AC",4,"2:1","Colonial"
164890,3142,17,0.69,"RS3","No AC",4,"1:1","Colonial"
91750,1756,28,0.07,"RS1","No AC",6,"2:0","Other"
75300,3058,28,0.1,"RS1","No AC",3,"4:0","Colonial"
NA,1088,23,0.17,"RS1","No AC",2,"1:1","Colonial"
50440,1296,28,0.08,"RS3","No AC",3,"1:0","Ranch"
NA,3402,28,0.31,"RS3","AC",5,"3:0","Other"
63890,1016,22,0.13,"RS1","No AC",3,"1:0","Colonial"
NA,1850,28,0.12,"RM2","No AC",5,"1:0","Colonial"
NA,3613,28,0.13,"RS2","No AC",4,"3:0","Colonial"
NA,3846,28,0.23,"RS1","No AC",8,"3:0","Other"
83240,1352,21,0.41,"RS2","No AC",4,"1:1","Other"
NA,960,18,0.24,"RS3","AC",3,"1:0","Ranch"
55790,1224,26,0.17,"RM2","No AC",3,"1:1","Other"
NA,3110,28,0.11,"RM2","No AC",8,"3:0","Colonial"
167940,1632,22,0.17,"RS2","No AC",4,"2:0","Other"
88350,1063,19,0.29,"RS2","AC",3,"1:0","Colonial"
NA,3220,28,0.1,"RS2","No AC",8,"3:0","Other"
NA,1967,22,0.21,"RM2","No AC",3,"1:1","Colonial"
NA,3216,28,0.11,"RM2","No AC",6,"3:0","Other"
NA,595,28,0.06,"RS1","No AC",2,"1:0","Colonial"
50970,1100,22,0.11,"RS2","No AC",2,"2:0","Other"
87580,1700,28,0.17,"RS2","No AC",3,"1:1","Ranch"
61260,1200,28,0.06,"RS2","No AC",2,"1:0","Colonial"
95970,3660,28,0.12,"RM2","No AC",6,"3:0","Other"
51030,2160,38,0.07,"RM2","No AC",4,"2:0","Other"
129830,3104,22,0.38,"RS1","No AC",6,"2:0","Other"
66370,1382,28,0.08,"RS2","No AC",2,"1:0","Other"
112810,1922,28,0.22,"RM1","No AC",4,"2:0","Other"
194640,2989,28,0.12,"RS3","No AC",6,"3:0","Colonial"
NA,1008,21,0.48,"RS3","AC",3,"1:1","Colonial"
NA,3920,28,0.2,"RS2","No AC",6,"3:0","Other"
135590,3232,18,0.21,"RM3","No AC",5,"3:0","Ranch"
NA,3296,22,0.28,"Other","AC",5,"2:1","Other"
57020,1288,22,0.1,"RM1","No AC",5,"1:0","Colonial"
42600,1200,38,0.07,"RM1","No AC",3,"1:0","Other"
73920,2383,22,0.09,"RM2","No AC",4,"2:0","Other"
NA,4963,28,0.17,"RS1","No AC",8,"3:0","Ranch"
NA,3742,28,0.34,"RS2","No AC",5,"3:0","Colonial"
NA,1073,22,0.15,"RS3","No AC",3,"1:0","Other"
NA,1694,28,0.07,"RS2","No AC",4,"2:0","Colonial"
NA,1336,22,0.15,"Other","AC",3,"1:1","Colonial"
NA,864,28,0.05,"RM1","No AC",2,"1:1","Colonial"
87190,2982,28,0.17,"RM1","AC",6,"3:0","Other"
NA,1290,28,0.1,"Other","AC",3,"1:1","Colonial"
103710,1911,22,0.12,"RM1","No AC",3,"2:0","Colonial"
119140,2364,28,0.11,"RM2","No AC",4,"2:0","Other"
101620,3710,28,0.14,"RS1","No AC",6,"3:0","Colonial"
123650,1802,28,0.19,"Other","No AC",4,"1:1","Ranch"
127900,2550,28,0.03,"RS2","No AC",4,"3:0","Colonial"
NA,2198,9,0.08,"RS1","AC",3,"1:0","Other"
98010,4408,38,0.11,"RS2","No AC",8,"4:0","Other"
92580,1574,28,0.15,"RS3","No AC",3,"1:1","Colonial"
NA,1864,22,0.14,"RS2","No AC",4,"2:0","Other"
NA,3061,22,0.16,"RS1","No AC",6,"3:0","Colonial"
134370,1874,28,0.18,"RS3","No AC",4,"2:0","Ranch"
101440,1534,28,0.09,"RS2","No AC",3,"1:1","Colonial"
NA,2019,28,0.14,"Other","No AC",4,"1:0","Other"
80370,2160,28,0.06,"RS2","No AC",4,"2:0","Other"
95420,2985,28,0.34,"RS2","No AC",6,"3:0","Other"
68960,3684,38,0.13,"RS2","No AC",6,"3:0","Other"
NA,2061,22,0.17,"Other","No AC",4,"2:0","Other"
NA,3342,28,0.11,"RM2","No AC",6,"3:0","Other"
NA,1728,28,0.11,"RS2","No AC",3,"1:1","Modern"
NA,3110,28,0.14,"RS1","No AC",6,"3:0","Ranch"
NA,1159,28,0.05,"RS3","No AC",3,"2:0","Other"
NA,2943,17,0.37,"RM2","No AC",4,"2:0","Ranch"
NA,2432,28,0.18,"RS2","No AC",4,"2:0","Ranch"
NA,2700,28,0.2,"RS3","No AC",4,"2:0","Other"
NA,2379,28,0.11,"RM1","No AC",4,"2:0","Colonial"
116250,4333,28,0.12,"RS1","No AC",5,"3:0","Colonial"
NA,1702,28,0.13,"RM2","No AC",3,"1:1","Colonial"
NA,1548,38,0.13,"RM2","No AC",3,"1:0","Colonial"
51600,1028,22,0.07,"RS2","No AC",3,"1:1","Ranch"
106380,1738,27,0.15,"RS1","No AC",3,"1:1","Other"
NA,1670,28,0.14,"RM1","No AC",4,"3:0","Colonial"
NA,1129,22,0.14,"Other","No AC",3,"1:0","Other"
NA,2693,19,0.26,"RS1","AC",3,"3:0","Ranch"
50480,560,28,0.24,"RS2","No AC",1,"1:0","Other"
51170,1388,22,0.17,"RM3","No AC",4,"2:0","Other"
NA,936,18,0.11,"RM1","No AC",3,"1:0","Colonial"
227900,2430,17,0.18,"RS1","No AC",3,"3:1","Colonial"
61320,2074,28,0.08,"RM2","No AC",4,"2:0","Colonial"
NA,1160,14,0.13,"RS3","No AC",3,"1:1","Other"
NA,2792,28,0.14,"RS3","No AC",5,"2:0","Other"
48560,765,24,0.14,"RS1","No AC",2,"1:0","Other"
NA,3013,28,0.14,"RS1","No AC",5,"2:0","Other"
NA,1380,28,0.07,"RM3","No AC",3,"1:0","Colonial"
NA,1599,22,0.2,"RS3","No AC",3,"2:0","Other"
NA,1037,28,0.09,"RM2","No AC",3,"1:0","Other"
NA,1932,22,0.07,"RS2","No AC",6,"2:0","Other"
63590,1778,38,0.26,"Other","No AC",4,"2:0","Modern"
71650,2202,28,0.12,"RS3","No AC",4,"2:0","Ranch"
108790,2000,22,0.23,"RS2","No AC",3,"1:1","Other"
NA,1040,15,0.17,"Other","No AC",3,"1:0","Colonial"
86950,1224,21,0.14,"RS2","No AC",4,"2:0","Colonial"
70040,1250,22,0.06,"RS3","No AC",4,"1:1","Other"
72850,2130,38,0.08,"RS1","No AC",4,"2:0","Colonial"
NA,2156,22,0.2,"RM1","AC",3,"2:0","Colonial"
50940,1280,28,0.08,"RS1","No AC",3,"2:0","Other"
NA,3366,28,0.09,"Other","No AC",6,"3:0","Other"
42910,766,27,0.19,"RM3","No AC",3,"1:0","Colonial"
43090,810,27,0.15,"RS3","No AC",3,"1:0","Ranch"
89050,2695,22,0.07,"RS2","No AC",6,"2:0","Other"
NA,2850,28,0.1,"RS3","No AC",5,"2:0","Other"
NA,1357,28,0.12,"RM1","No AC",3,"1:0","Colonial"
63330,1312,28,0.13,"RS1","No AC",3,"1:0","Modern"
50400,1120,22,0.12,"RM2","No AC",4,"1:1","Colonial"
NA,1770,19,0.23,"RS1","AC",3,"2:1","Other"
NA,1425,28,0.07,"RS3","No AC",3,"1:0","Other"
NA,2052,28,0.12,"RS2","No AC",4,"2:0","Colonial"
NA,1000,24,0.64,"RS2","No AC",3,"1:1","Other"
NA,3038,28,0.08,"RS1","AC",4,"3:0","Other"
NA,3510,22,0.27,"Other","No AC",4,"3:1","Colonial"
89360,3100,28,0.11,"RM1","No AC",7,"2:0","Other"
NA,1563,22,0.2,"RM3","No AC",4,"2:0","Ranch"
60550,2282,28,0.09,"RM2","No AC",6,"3:0","Other"
56750,1756,28,0.11,"RS1","No AC",4,"2:0","Other"
109420,1960,28,0.1,"RS2","No AC",2,"1:1","Other"
NA,2224,28,0.11,"RS2","AC",6,"2:0","Colonial"
82560,2965,28,0.13,"Other","No AC",6,"3:0","Colonial"
NA,3413,28,0.13,"RM2","No AC",6,"3:0","Ranch"
NA,2664,28,0.12,"RS3","No AC",4,"5:0","Other"
NA,3048,28,0.1,"RS3","No AC",5,"2:1","Ranch"
NA,2678,33,0.11,"RS1","No AC",6,"4:0","Other"
93880,3372,22,0.18,"RS2","No AC",6,"4:0","Colonial"
111090,1577,22,0.18,"RM3","No AC",3,"1:0","Other"
83310,1230,22,0.76,"RS2","No AC",2,"1:0","Other"
NA,3887,28,0.05,"RS1","No AC",4,"4:0","Other"
NA,2835,9,0.44,"RM1","No AC",4,"2:0","Ranch"
NA,2448,22,0.08,"RS1","No AC",4,"4:0","Colonial"
NA,1632,28,0.12,"RS1","No AC",3,"2:0","Colonial"
214600,4050,38,0.15,"RS1","No AC",6,"3:0","Colonial"
NA,3305,28,0.17,"RM1","No AC",5,"3:0","Other"
107420,3565,28,0.22,"RS3","No AC",6,"3:0","Colonial"
88070,1038,26,0.15,"RS2","AC",2,"1:0","Colonial"
NA,1953,20,0.21,"RS2","AC",2,"2:0","Other"
NA,1224,38,0.07,"RS2","AC",2,"2:0","Colonial"
NA,2467,28,0.2,"RS1","No AC",4,"3:1","Other"
NA,1286,22,0.21,"RM2","No AC",3,"2:1","Modern"
75120,1416,19,0.14,"RS2","No AC",4,"2:0","Other"
NA,2392,28,0.22,"RM3","No AC",3,"1:0","Other"
47440,1280,28,0.07,"RS1","No AC",4,"1:0","Other"
112190,1344,27,0.16,"RS1","No AC",3,"1:1","Modern"
NA,1664,38,0.2,"RM2","No AC",3,"1:0","Ranch"
75530,2150,17,0.08,"RM2","No AC",4,"2:0","Other"
84000,2082,28,0.21,"RM3","No AC",4,"2:0","Colonial"
59920,1788,28,0.07,"RM3","No AC",4,"2:0","Colonial"
75600,2999,28,0.09,"RM2","No AC",4,"2:0","Colonial"
NA,4272,50,0.17,"RM3","No AC",4,"4:0","Modern"
87500,1248,9,0.11,"RM3","AC",3,"1:1","Modern"
90090,3383,28,0.16,"RM2","No AC",5,"3:0","Other"
76660,2867,22,0.08,"RS2","No AC",6,"3:0","Other"
68400,1685,28,0.16,"RS2","No AC",3,"2:0","Colonial"
85890,1824,28,0.15,"RM2","No AC",4,"2:0","Other"
101890,2342,23,0.2,"RS3","No AC",4,"3:0","Colonial"
46700,770,22,0.05,"RS2","No AC",2,"1:0","Other"
57340,939,28,0.11,"RS2","No AC",2,"1:0","Other"
NA,1360,28,0.07,"RS3","No AC",4,"2:0","Other"
NA,3367,33,0.25,"Other","No AC",3,"1:1","Colonial"
NA,2038,28,0.12,"RM2","No AC",4,"2:0","Other"
72110,960,20,0.12,"RS2","AC",3,"2:0","Colonial"
282290,3444,17,0.44,"RS1","AC",4,"3:0","Other"
79240,3067,28,0.14,"RM2","No AC",5,"3:0","Other"
94960,1358,20,0.17,"RM1","No AC",2,"1:0","Ranch"
NA,3110,28,0.11,"RM1","No AC",6,"3:0","Other"
NA,1431,28,0.17,"RS3","No AC",2,"1:1","Other"
NA,1664,38,0.08,"RM2","No AC",4,"2:0","Other"
NA,1344,28,0.14,"RS2","No AC",3,"2:0","Colonial"
92850,2015,19,0.22,"Other","No AC",4,"1:1","Colonial"
NA,1716,28,0.07,"RS3","No AC",4,"2:0","Other"
NA,799,38,0.14,"RS2","No AC",4,"1:0","Colonial"
NA,1890,28,0.32,"RM2","No AC",2,"2:0","Other"
75040,1232,20,0.17,"RM3","No AC",2,"1:0","Other"
58810,624,23,0.17,"RS2","No AC",2,"1:0","Colonial"
55120,1330,28,0.07,"Other","No AC",3,"1:0","Modern"
NA,2280,9,0.2,"RS3","No AC",4,"2:1","Other"
NA,1584,28,0.08,"RS1","No AC",4,"2:0","Other"
75160,2196,22,0.18,"RS1","No AC",4,"2:0","Other"
NA,1583,38,0.09,"RS1","No AC",4,"2:0","Other"
97930,1732,17,0.11,"RM2","No AC",4,"1:1","Other"
88200,1944,22,0.2,"RM3","AC",2,"1:0","Other"
NA,1080,22,0.12,"RS2","No AC",2,"1:0","Other"
NA,1919,23,0.26,"Other","AC",3,"2:0","Colonial"
NA,1152,19,0.21,"RS2","AC",2,"1:0","Modern"
115290,1736,1,0.15,"RM3","No AC",3,"2:1","Colonial"
NA,2096,22,0.14,"RM2","AC",2,"2:1","Other"
NA,4517,28,0.09,"RS1","No AC",8,"4:0","Colonial"
91040,3289,22,0.08,"RS3","No AC",3,"2:0","Other"
NA,1484,28,0.37,"RM1","No AC",4,"1:0","Other"
NA,1890,16,0.34,"RS3","No AC",3,"1:1","Modern"
105710,2847,22,0.24,"RS2","No AC",4,"2:0","Other"
78570,1563,17,0.1,"Other","AC",3,"2:0","Colonial"
NA,3579,28,0.06,"Other","No AC",6,"3:0","Other"
NA,1356,23,0.28,"RM2","No AC",3,"1:1","Other"
NA,2962,28,0.14,"Other","AC",5,"3:0","Other"
107040,1536,31,0.16,"RS2","No AC",3,"1:0","Other"
122330,2046,22,0.17,"RM1","No AC",4,"1:1","Other"
NA,2406,28,0.1,"RM2","No AC",6,"2:0","Ranch"
146030,1206,28,0.11,"RS2","No AC",3,"1:1","Colonial"
NA,1846,23,0.23,"RS3","No AC",4,"3:0","Colonial"
64870,1656,28,0.07,"RS1","No AC",5,"2:1","Colonial"
NA,1116,20,0.15,"RS1","No AC",3,"1:0","Other"
NA,1499,17,0.12,"RM2","No AC",4,"2:1","Colonial"
NA,2905,28,0.11,"RS2","No AC",6,"3:0","Colonial"
NA,3769,28,0.13,"RM2","No AC",7,"3:0","Colonial"
89650,1260,28,0.06,"RS1","No AC",3,"1:1","Ranch"
97130,1438,20,0.2,"RS3","No AC",3,"2:1","Colonial"
154740,2140,23,0.29,"RM1","No AC",3,"1:0","Other"
NA,3281,28,0.14,"RM1","No AC",6,"3:0","Other"
103010,3579,22,0.13,"RS3","No AC",6,"3:0","Other"
49950,1258,28,0.03,"RS3","No AC",3,"1:0","Other"
NA,2668,28,0.11,"RS3","No AC",8,"3:0","Other"
100040,3275,28,0.15,"RS2","No AC",6,"3:0","Modern"
NA,1089,21,0.18,"RS2","No AC",2,"1:0","Ranch"
87750,2428,24,0.09,"RS3","No AC",4,"2:0","Other"
109950,1332,22,0.13,"RS1","No AC",3,"2:0","Other"
87740,3278,28,0.14,"Other","No AC",6,"3:0","Ranch"
116210,1148,60,0.24,"RS2","No AC",1,"1:0","Modern"
72590,2196,15,0.15,"RM3","No AC",6,"2:0","Modern"
NA,3698,28,0.12,"RS2","No AC",6,"3:0","Colonial"
NA,1536,21,0.17,"RS1","No AC",4,"2:0","Other"
74550,3271,28,0.12,"RM2","No AC",6,"3:0","Colonial"
NA,992,30,0.14,"RS3","No AC",3,"1:0","Other"
86110,1304,26,0.13,"RS2","No AC",3,"2:0","Ranch"
89890,1580,10,0.17,"RS2","AC",3,"1:1","Other"
NA,1748,38,0.07,"RM1","No AC",2,"2:0","Other"
76210,1254,15,0.14,"RS1","No AC",3,"1:1","Other"
84220,3499,28,0.12,"RS2","No AC",6,"3:0","Colonial"
72270,2489,28,0.13,"Other","No AC",6,"3:0","Other"
476000,6221,28,0.47,"RM2","No AC",6,"3:1","Other"
NA,1324,17,0.11,"Other","No AC",3,"1:0","Other"
64130,2261,28,0.06,"RS2","No AC",5,"2:0","Ranch"
NA,1720,38,0.19,"RM2","No AC",3,"1:0","Other"
NA,5389,28,0.24,"RS2","No AC",8,"4:0","Other"
NA,1566,28,0.21,"RS1","No AC",3,"2:0","Colonial"
NA,3187,28,0.07,"RM3","No AC",5,"3:0","Other"
NA,1952,18,0.19,"RM3","AC",3,"2:1","Colonial"
NA,1026,24,0.14,"RS3","No AC",2,"1:0","Other"
NA,1440,28,0.1,"RS3","No AC",3,"1:1","Modern"
124250,1809,28,0.28,"RM2","No AC",4,"1:1","Ranch"
111310,1438,17,0.19,"RS2","No AC",3,"1:1","Colonial"
NA,1426,28,0.17,"RM2","No AC",3,"1:0","Ranch"
NA,3317,22,0.18,"RS3","No AC",5,"3:1","Other"
NA,1648,22,0.1,"RS3","No AC",4,"2:0","Colonial"
80300,2880,28,0.15,"RS2","No AC",4,"2:0","Other"
111160,2003,23,0.18,"RM2","No AC",3,"1:1","Modern"
62840,1154,28,0.08,"RS1","No AC",3,"1:0","Other"
73400,2354,28,0.13,"RS3","No AC",4,"2:0","Other"
NA,1819,23,0.33,"Other","No AC",3,"2:0","Colonial"
173960,2746,22,0.16,"RS2","AC",6,"3:0","Other"
54670,2153,28,0.1,"RM2","No AC",4,"2:0","Other"
43450,665,28,0.06,"RS1","No AC",4,"2:0","Colonial"
219310,3885,22,0.15,"RM2","No AC",6,"3:0","Colonial"
NA,2223,22,0.05,"RS3","No AC",3,"2:1","Colonial"
85030,3237,22,0.12,"RS1","No AC",6,"3:0","Colonial"
128360,1820,22,0.24,"RS1","AC",2,"2:0","Colonial"
52230,476,28,0.27,"RS2","No AC",2,"1:0","Other"
48560,441,38,0.12,"RS1","No AC",2,"2:0","Ranch"
NA,2210,28,0.09,"RM2","No AC",4,"2:0","Other"
NA,1224,22,0.09,"RS3","No AC",2,"2:0","Colonial"
161350,2342,22,0.25,"RM3","No AC",4,"2:1","Other"
NA,1347,22,0.16,"RS1","No AC",3,"1:0","Modern"
406750,3907,22,0.27,"RS1","AC",5,"3:1","Colonial"
104370,1425,22,0.14,"RM2","No AC",2,"2:0","Other"
NA,2420,28,0.18,"RS1","No AC",4,"2:0","Colonial"
NA,3105,38,0.14,"RS1","No AC",6,"3:0","Other"
65520,810,23,0.1,"RM2","No AC",3,"1:1","Colonial"
NA,1408,19,0.4,"RM3","No AC",3,"2:0","Other"
NA,1409,23,0.2,"RS2","No AC",3,"1:1","Ranch"
NA,3243,22,0.25,"RS1","No AC",5,"4:0","Other"
73040,2315,28,0.1,"Other","No AC",5,"3:0","Other"
80470,1130,23,0.17,"RM1","No AC",3,"1:0","Other"
NA,1648,28,0.26,"RM1","No AC",4,"3:0","Other"
95940,3278,22,0.09,"RS3","No AC",4,"2:0","Other"
77950,1344,24,0.23,"RS3","No AC",2,"1:1","Ranch"
NA,2992,8,0.18,"RS2","AC",6,"2:1","Colonial"
103580,3796,22,0.27,"RS1","No AC",6,"3:0","Other"
NA,3024,28,0.08,"RM3","No AC",6,"4:1","Other"
47390,768,22,0.1,"RM2","No AC",2,"1:0","Other"
NA,1160,13,0.06,"RS2","No AC",3,"1:1","Other"
NA,2511,38,0.1,"RS1","No AC",6,"3:0","Other"
56070,1674,28,0.1,"RM2","No AC",2,"2:0","Other"
NA,1120,28,0.2,"RM2","No AC",2,"1:0","Colonial"
39620,1240,28,0.09,"RM2","No AC",4,"2:0","Other"
NA,2230,24,0.33,"RM2","No AC",5,"2:0","Modern"
NA,1488,38,0.2,"RM2","No AC",3,"1:1","Other"
NA,2563,22,0.11,"RM3","No AC",4,"2:0","Colonial"
106170,1472,21,0.14,"RS1","No AC",3,"2:0","Ranch"
NA,2078,22,0.15,"RM3","No AC",3,"2:1","Other"
63140,1771,17,0.1,"RM2","No AC",4,"2:0","Colonial"
80460,2529,22,0.12,"Other","No AC",6,"3:0","Other"
89500,1582,23,0.26,"RM1","No AC",3,"1:0","Other"
NA,4821,19,0.33,"RS1","AC",3,"2:0","Colonial"
88160,1260,24,0.13,"Other","No AC",3,"1:1","Colonial"
79280,3299,38,0.11,"RS3","No AC",6,"3:0","Colonial"
75810,2550,28,0.19,"RM2","No AC",6,"3:1","Other"
NA,3280,38,0.08,"RS1","No AC",5,"3:0","Other"
NA,1268,28,0.12,"RM3","No AC",2,"1:0","Other"
NA,2841,23,0.21,"RS1","AC",2,"3:0","Modern"
100460,1297,23,0.32,"RS2","AC",2,"1:1","Other"
NA,2981,38,0.13,"RS1","No AC",6,"3:0","Colonial"
NA,2538,28,0.14,"RS1","No AC",3,"3:0","Other"
NA,864,24,0.15,"RS3","No AC",3,"1:0","Colonial"
121530,2688,28,0.04,"RS2","No AC",6,"3:0","Modern"
NA,2904,22,0.34,"RM1","No AC",5,"3:1","Modern"
57440,2263,28,0.11,"RM1","No AC",4,"2:0","Other"
NA,2520,18,0.27,"RS1","AC",6,"2:0","Other"
107350,3364,22,0.16,"RS3","No AC",4,"3:0","Other"
NA,2797,28,0.11,"RS1","No AC",5,"3:0","Colonial"
